File,WaveData20200304_273.csv,
Date/Time,20-03-04/14:58,

Trace,A
Center Wavelength,1546.62,nm
Span Wavelength,5,nm
Start Wavelength,1544.12,nm
Stop Wavelength,1549.12,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544.12,nm
Stop,1549.12,nm
Trace,B
Center Wavelength,1546.62,nm
Span Wavelength,5,nm
Start Wavelength,1544.12,nm
Stop Wavelength,1549.12,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544.12,nm
Stop,1549.12,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1544.120000,3.4600E-005,1544.120000,3.4600E-005
1544.122500,3.4800E-005,1544.122500,3.4800E-005
1544.125000,3.5550E-005,1544.125000,3.5550E-005
1544.127500,3.6370E-005,1544.127500,3.6370E-005
1544.130000,3.7080E-005,1544.130000,3.7080E-005
1544.132500,3.7830E-005,1544.132500,3.7830E-005
1544.135000,3.8790E-005,1544.135000,3.8790E-005
1544.137500,3.9610E-005,1544.137500,3.9610E-005
1544.140000,4.0490E-005,1544.140000,4.0490E-005
1544.142500,4.1300E-005,1544.142500,4.1300E-005
1544.145000,4.2060E-005,1544.145000,4.2060E-005
1544.147500,4.2890E-005,1544.147500,4.2890E-005
1544.150000,4.3690E-005,1544.150000,4.3690E-005
1544.152500,4.4560E-005,1544.152500,4.4560E-005
1544.155000,4.5580E-005,1544.155000,4.5580E-005
1544.157500,4.6370E-005,1544.157500,4.6370E-005
1544.160000,4.7200E-005,1544.160000,4.7200E-005
1544.162500,4.7100E-005,1544.162500,4.7100E-005
1544.165000,4.7940E-005,1544.165000,4.7940E-005
1544.167500,4.8900E-005,1544.167500,4.8900E-005
1544.170000,5.0030E-005,1544.170000,5.0030E-005
1544.172500,5.0770E-005,1544.172500,5.0770E-005
1544.175000,5.1610E-005,1544.175000,5.1610E-005
1544.177500,5.2060E-005,1544.177500,5.2060E-005
1544.180000,5.2550E-005,1544.180000,5.2550E-005
1544.182500,5.3150E-005,1544.182500,5.3150E-005
1544.185000,5.3830E-005,1544.185000,5.3830E-005
1544.187500,5.4600E-005,1544.187500,5.4600E-005
1544.190000,5.5270E-005,1544.190000,5.5270E-005
1544.192500,5.5800E-005,1544.192500,5.5800E-005
1544.195000,5.6340E-005,1544.195000,5.6340E-005
1544.197500,5.6590E-005,1544.197500,5.6590E-005
1544.200000,5.7130E-005,1544.200000,5.7130E-005
1544.202500,5.7530E-005,1544.202500,5.7530E-005
1544.205000,5.8110E-005,1544.205000,5.8110E-005
1544.207500,5.8260E-005,1544.207500,5.8260E-005
1544.210000,5.8640E-005,1544.210000,5.8640E-005
1544.212500,5.8980E-005,1544.212500,5.8980E-005
1544.215000,5.9250E-005,1544.215000,5.9250E-005
1544.217500,5.9460E-005,1544.217500,5.9460E-005
1544.220000,5.9510E-005,1544.220000,5.9510E-005
1544.222500,5.9720E-005,1544.222500,5.9720E-005
1544.225000,5.9750E-005,1544.225000,5.9750E-005
1544.227500,5.9800E-005,1544.227500,5.9800E-005
1544.230000,5.9880E-005,1544.230000,5.9880E-005
1544.232500,5.9750E-005,1544.232500,5.9750E-005
1544.235000,5.9680E-005,1544.235000,5.9680E-005
1544.237500,5.9470E-005,1544.237500,5.9470E-005
1544.240000,5.9260E-005,1544.240000,5.9260E-005
1544.242500,5.9050E-005,1544.242500,5.9050E-005
1544.245000,5.8740E-005,1544.245000,5.8740E-005
1544.247500,5.8440E-005,1544.247500,5.8440E-005
1544.250000,5.8100E-005,1544.250000,5.8100E-005
1544.252500,5.7580E-005,1544.252500,5.7580E-005
1544.255000,5.7090E-005,1544.255000,5.7090E-005
1544.257500,5.6650E-005,1544.257500,5.6650E-005
1544.260000,5.6130E-005,1544.260000,5.6130E-005
1544.262500,5.5570E-005,1544.262500,5.5570E-005
1544.265000,5.5110E-005,1544.265000,5.5110E-005
1544.267500,5.5100E-005,1544.267500,5.5100E-005
1544.270000,5.4210E-005,1544.270000,5.4210E-005
1544.272500,5.3450E-005,1544.272500,5.3450E-005
1544.275000,5.2670E-005,1544.275000,5.2670E-005
