FBG1,FBG2,FBG3
1545.520874,1546.008667,1546.532104
1545.669189,1546.012573,1546.531006
1545.803833,1546.019531,1546.531372
1545.978638,1545.980347,1546.539795
1546.09729,1546.032837,1546.541138
1546.227295,1546.00061,1546.547119
1546.385376,1546.015869,1546.539917
1546.520874,1546.015503,1546.52063
1546.660645,1546.01123,1546.532227
1546.827515,1546.023071,1546.521729
1546.983887,1546.016357,1546.541748
