FBG1,FBG2,FBG3
1545.520996,1546.008789,1546.532227
1545.669067,1546.012451,1546.530884
1545.804199,1546.019897,1546.531738
1545.973633,1545.976685,1546.535522
1546.098389,1546.033569,1546.541992
1546.227051,1546.000488,1546.546875
1546.38562,1546.015991,1546.540039
1546.520752,1546.015503,1546.52063
1546.660767,1546.01123,1546.532227
1546.827515,1546.023071,1546.521729
1546.983887,1546.016357,1546.541748
