File,WaveData20200709_035.csv,
Date/Time,20-07-09/15:32,

Trace,A
Center Wavelength,1545.29,nm
Span Wavelength,3.1,nm
Start Wavelength,1543.74,nm
Stop Wavelength,1546.84,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.05,nm
Actual Resolution,0.049,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1543.74,nm
Stop,1546.84,nm
Trace,B
Center Wavelength,1545.29,nm
Span Wavelength,3.1,nm
Start Wavelength,1543.74,nm
Stop Wavelength,1546.84,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.05,nm
Actual Resolution,0.049,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1543.74,nm
Stop,1546.84,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1543.740000,2.4110E-006,1543.740000,2.4110E-006
1543.740620,2.4260E-006,1543.740620,2.4260E-006
1543.741240,2.4210E-006,1543.741240,2.4210E-006
1543.741860,2.4360E-006,1543.741860,2.4360E-006
1543.742480,2.4290E-006,1543.742480,2.4290E-006
1543.743100,2.4470E-006,1543.743100,2.4470E-006
1543.743720,2.5220E-006,1543.743720,2.5220E-006
1543.744340,2.4860E-006,1543.744340,2.4860E-006
1543.744960,2.4570E-006,1543.744960,2.4570E-006
1543.745580,2.4930E-006,1543.745580,2.4930E-006
1543.746200,2.4860E-006,1543.746200,2.4860E-006
1543.746820,2.4750E-006,1543.746820,2.4750E-006
1543.747440,2.4950E-006,1543.747440,2.4950E-006
1543.748060,2.4840E-006,1543.748060,2.4840E-006
1543.748680,2.4960E-006,1543.748680,2.4960E-006
1543.749300,2.4670E-006,1543.749300,2.4670E-006
1543.749920,2.5220E-006,1543.749920,2.5220E-006
1543.750540,2.5370E-006,1543.750540,2.5370E-006
1543.751160,2.5270E-006,1543.751160,2.5270E-006
1543.751780,2.5210E-006,1543.751780,2.5210E-006
1543.752400,2.5170E-006,1543.752400,2.5170E-006
1543.753020,2.5850E-006,1543.753020,2.5850E-006
1543.753640,2.5450E-006,1543.753640,2.5450E-006
1543.754260,2.5700E-006,1543.754260,2.5700E-006
1543.754880,2.5710E-006,1543.754880,2.5710E-006
1543.755500,2.5610E-006,1543.755500,2.5610E-006
1543.756120,2.6010E-006,1543.756120,2.6010E-006
1543.756740,2.5210E-006,1543.756740,2.5210E-006
1543.757360,2.5770E-006,1543.757360,2.5770E-006
1543.757980,2.6140E-006,1543.757980,2.6140E-006
1543.758600,2.5760E-006,1543.758600,2.5760E-006
1543.759220,2.6800E-006,1543.759220,2.6800E-006
1543.759840,2.6170E-006,1543.759840,2.6170E-006
1543.760460,2.6170E-006,1543.760460,2.6170E-006
1543.761080,2.6630E-006,1543.761080,2.6630E-006
1543.761700,2.6340E-006,1543.761700,2.6340E-006
1543.762320,2.6420E-006,1543.762320,2.6420E-006
1543.762940,2.6480E-006,1543.762940,2.6480E-006
1543.763560,2.6270E-006,1543.763560,2.6270E-006
1543.764180,2.6370E-006,1543.764180,2.6370E-006
1543.764800,2.6380E-006,1543.764800,2.6380E-006
1543.765420,2.6740E-006,1543.765420,2.6740E-006
1543.766040,2.6850E-006,1543.766040,2.6850E-006
1543.766660,2.6180E-006,1543.766660,2.6180E-006
1543.767280,2.7060E-006,1543.767280,2.7060E-006
