File,WaveData20200709_034.csv,
Date/Time,20-07-09/15:31,

Trace,A
Center Wavelength,1545.29,nm
Span Wavelength,3.1,nm
Start Wavelength,1543.74,nm
Stop Wavelength,1546.84,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.07,nm
Actual Resolution,0.066,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1543.74,nm
Stop,1546.84,nm
Trace,B
Center Wavelength,1545.29,nm
Span Wavelength,3.1,nm
Start Wavelength,1543.74,nm
Stop Wavelength,1546.84,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.07,nm
Actual Resolution,0.066,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1543.74,nm
Stop,1546.84,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1543.740000,3.3950E-006,1543.740000,3.3950E-006
1543.740620,3.3720E-006,1543.740620,3.3720E-006
1543.741240,3.3530E-006,1543.741240,3.3530E-006
1543.741860,3.3720E-006,1543.741860,3.3720E-006
1543.742480,3.3710E-006,1543.742480,3.3710E-006
1543.743100,3.4410E-006,1543.743100,3.4410E-006
1543.743720,3.4200E-006,1543.743720,3.4200E-006
1543.744340,3.4170E-006,1543.744340,3.4170E-006
1543.744960,3.4460E-006,1543.744960,3.4460E-006
1543.745580,3.3900E-006,1543.745580,3.3900E-006
1543.746200,3.4590E-006,1543.746200,3.4590E-006
1543.746820,3.4110E-006,1543.746820,3.4110E-006
1543.747440,3.4280E-006,1543.747440,3.4280E-006
1543.748060,3.5200E-006,1543.748060,3.5200E-006
1543.748680,3.4660E-006,1543.748680,3.4660E-006
1543.749300,3.5160E-006,1543.749300,3.5160E-006
1543.749920,3.5320E-006,1543.749920,3.5320E-006
1543.750540,3.5450E-006,1543.750540,3.5450E-006
1543.751160,3.5500E-006,1543.751160,3.5500E-006
1543.751780,3.5980E-006,1543.751780,3.5980E-006
1543.752400,3.5960E-006,1543.752400,3.5960E-006
1543.753020,3.6000E-006,1543.753020,3.6000E-006
1543.753640,3.6040E-006,1543.753640,3.6040E-006
1543.754260,3.6040E-006,1543.754260,3.6040E-006
1543.754880,3.6050E-006,1543.754880,3.6050E-006
1543.755500,3.6320E-006,1543.755500,3.6320E-006
1543.756120,3.5830E-006,1543.756120,3.5830E-006
1543.756740,3.6140E-006,1543.756740,3.6140E-006
1543.757360,3.5990E-006,1543.757360,3.5990E-006
1543.757980,3.6890E-006,1543.757980,3.6890E-006
1543.758600,3.6670E-006,1543.758600,3.6670E-006
1543.759220,3.6630E-006,1543.759220,3.6630E-006
1543.759840,3.6880E-006,1543.759840,3.6880E-006
1543.760460,3.7410E-006,1543.760460,3.7410E-006
1543.761080,3.6700E-006,1543.761080,3.6700E-006
1543.761700,3.7590E-006,1543.761700,3.7590E-006
1543.762320,3.7620E-006,1543.762320,3.7620E-006
1543.762940,3.8180E-006,1543.762940,3.8180E-006
1543.763560,3.7070E-006,1543.763560,3.7070E-006
1543.764180,3.7920E-006,1543.764180,3.7920E-006
1543.764800,3.8270E-006,1543.764800,3.8270E-006
1543.765420,3.7300E-006,1543.765420,3.7300E-006
1543.766040,3.8250E-006,1543.766040,3.8250E-006
1543.766660,3.8430E-006,1543.766660,3.8430E-006
1543.767280,3.8390E-006,1543.767280,3.8390E-006
1543.767900,3.8310E-006,1543.767900,3.8310E-006
1543.768520,3.8580E-006,1543.768520,3.8580E-006
1543.769140,3.8960E-006,1543.769140,3.8960E-006
1543.769760,3.8830E-006,1543.769760,3.8830E-006
1543.770380,3.8470E-006,1543.770380,3.8470E-006
1543.771000,3.8820E-006,1543.771000,3.8820E-006
1543.771620,3.9160E-006,1543.771620,3.9160E-006
1543.772240,3.8820E-006,1543.772240,3.8820E-006
1543.772860,3.8970E-006,1543.772860,3.8970E-006
1543.773480,3.8840E-006,1543.773480,3.8840E-006
1543.774100,3.9420E-006,1543.774100,3.9420E-006
1543.774720,3.8660E-006,1543.774720,3.8660E-006
1543.775340,3.9980E-006,1543.775340,3.9980E-006
1543.775960,3.9750E-006,1543.775960,3.9750E-006
1543.776580,3.9700E-006,1543.776580,3.9700E-006
1543.777200,3.9650E-006,1543.777200,3.9650E-006
1543.777820,4.0080E-006,1543.777820,4.0080E-006
1543.778440,4.0160E-006,1543.778440,4.0160E-006
1543.779060,4.0070E-006,1543.779060,4.0070E-006
1543.779680,4.0380E-006,1543.779680,4.0380E-006
1543.780300,3.9830E-006,1543.780300,3.9830E-006
1543.780920,4.0490E-006,1543.780920,4.0490E-006
1543.781540,4.0210E-006,1543.781540,4.0210E-006
1543.782160,4.0370E-006,1543.782160,4.0370E-006
1543.782780,4.0380E-006,1543.782780,4.0380E-006
1543.783400,4.0500E-006,1543.783400,4.0500E-006
1543.784020,4.0580E-006,1543.784020,4.0580E-006
1543.784640,4.1060E-006,1543.784640,4.1060E-006
1543.785260,4.0630E-006,1543.785260,4.0630E-006
1543.785880,4.1030E-006,1543.785880,4.1030E-006
1543.786500,4.0500E-006,1543.786500,4.0500E-006
1543.787120,4.0530E-006,1543.787120,4.0530E-006
1543.787740,4.0910E-006,1543.787740,4.0910E-006
1543.788360,4.0760E-006,1543.788360,4.0760E-006
1543.788980,4.1860E-006,1543.788980,4.1860E-006
1543.789600,4.1330E-006,1543.789600,4.1330E-006
1543.790220,4.1680E-006,1543.790220,4.1680E-006
1543.790840,4.1250E-006,1543.790840,4.1250E-006
1543.791460,4.1700E-006,1543.791460,4.1700E-006
1543.792080,4.1310E-006,1543.792080,4.1310E-006
1543.792700,4.1360E-006,1543.792700,4.1360E-006
1543.793320,4.1480E-006,1543.793320,4.1480E-006
1543.793940,4.1260E-006,1543.793940,4.1260E-006
1543.794560,4.1800E-006,1543.794560,4.1800E-006
1543.795180,4.1960E-006,1543.795180,4.1960E-006
1543.795800,4.1680E-006,1543.795800,4.1680E-006
1543.796420,4.2330E-006,1543.796420,4.2330E-006
1543.797040,4.2470E-006,1543.797040,4.2470E-006
1543.797660,4.1730E-006,1543.797660,4.1730E-006
1543.798280,4.2490E-006,1543.798280,4.2490E-006
1543.798900,4.2470E-006,1543.798900,4.2470E-006
1543.799520,4.2250E-006,1543.799520,4.2250E-006
1543.800140,4.2410E-006,1543.800140,4.2410E-006
1543.800760,4.2510E-006,1543.800760,4.2510E-006
1543.801380,4.2700E-006,1543.801380,4.2700E-006
1543.802000,4.2390E-006,1543.802000,4.2390E-006
1543.802620,4.2500E-006,1543.802620,4.2500E-006
1543.803240,4.2560E-006,1543.803240,4.2560E-006
1543.803860,4.2330E-006,1543.803860,4.2330E-006
1543.804480,4.2250E-006,1543.804480,4.2250E-006
1543.805100,4.2510E-006,1543.805100,4.2510E-006
1543.805720,4.3120E-006,1543.805720,4.3120E-006
1543.806340,4.2970E-006,1543.806340,4.2970E-006
1543.806960,4.2790E-006,1543.806960,4.2790E-006
1543.807580,4.3220E-006,1543.807580,4.3220E-006
1543.808200,4.3110E-006,1543.808200,4.3110E-006
1543.808820,4.3840E-006,1543.808820,4.3840E-006
1543.809440,4.3270E-006,1543.809440,4.3270E-006
1543.810060,4.3270E-006,1543.810060,4.3270E-006
1543.810680,4.2810E-006,1543.810680,4.2810E-006
1543.811300,4.2810E-006,1543.811300,4.2810E-006
1543.811920,4.3190E-006,1543.811920,4.3190E-006
1543.812540,4.2900E-006,1543.812540,4.2900E-006
1543.813160,4.3440E-006,1543.813160,4.3440E-006
1543.813780,4.2840E-006,1543.813780,4.2840E-006
1543.814400,4.3440E-006,1543.814400,4.3440E-006
1543.815020,4.3620E-006,1543.815020,4.3620E-006
1543.815640,4.3350E-006,1543.815640,4.3350E-006
1543.816260,4.3180E-006,1543.816260,4.3180E-006
1543.816880,4.3430E-006,1543.816880,4.3430E-006
1543.817500,4.3660E-006,1543.817500,4.3660E-006
1543.818120,4.3780E-006,1543.818120,4.3780E-006
1543.818740,4.3160E-006,1543.818740,4.3160E-006
1543.819360,4.3740E-006,1543.819360,4.3740E-006
1543.819980,4.3290E-006,1543.819980,4.3290E-006
1543.820600,4.3240E-006,1543.820600,4.3240E-006
1543.821220,4.2670E-006,1543.821220,4.2670E-006
1543.821840,4.3500E-006,1543.821840,4.3500E-006
1543.822460,4.3530E-006,1543.822460,4.3530E-006
1543.823080,4.3520E-006,1543.823080,4.3520E-006
1543.823700,4.3440E-006,1543.823700,4.3440E-006
1543.824320,4.3560E-006,1543.824320,4.3560E-006
1543.824940,4.3740E-006,1543.824940,4.3740E-006
1543.825560,4.3690E-006,1543.825560,4.3690E-006
1543.826180,4.3230E-006,1543.826180,4.3230E-006
1543.826800,4.3150E-006,1543.826800,4.3150E-006
1543.827420,4.3620E-006,1543.827420,4.3620E-006
1543.828040,4.3600E-006,1543.828040,4.3600E-006
1543.828660,4.3040E-006,1543.828660,4.3040E-006
1543.829280,4.2970E-006,1543.829280,4.2970E-006
1543.829900,4.3430E-006,1543.829900,4.3430E-006
1543.830520,4.2690E-006,1543.830520,4.2690E-006
1543.831140,4.3350E-006,1543.831140,4.3350E-006
1543.831760,4.3250E-006,1543.831760,4.3250E-006
1543.832380,4.2970E-006,1543.832380,4.2970E-006
1543.833000,4.3170E-006,1543.833000,4.3170E-006
1543.833620,4.2630E-006,1543.833620,4.2630E-006
1543.834240,4.3190E-006,1543.834240,4.3190E-006
1543.834860,4.2570E-006,1543.834860,4.2570E-006
1543.835480,4.2780E-006,1543.835480,4.2780E-006
1543.836100,4.2970E-006,1543.836100,4.2970E-006
1543.836720,4.2860E-006,1543.836720,4.2860E-006
1543.837340,4.2680E-006,1543.837340,4.2680E-006
1543.837960,4.3030E-006,1543.837960,4.3030E-006
1543.838580,4.2600E-006,1543.838580,4.2600E-006
1543.839200,4.3050E-006,1543.839200,4.3050E-006
1543.839820,4.2640E-006,1543.839820,4.2640E-006
1543.840440,4.2910E-006,1543.840440,4.2910E-006
1543.841060,4.3090E-006,1543.841060,4.3090E-006
1543.841680,4.1980E-006,1543.841680,4.1980E-006
1543.842300,4.2300E-006,1543.842300,4.2300E-006
1543.842920,4.2230E-006,1543.842920,4.2230E-006
1543.843540,4.2170E-006,1543.843540,4.2170E-006
1543.844160,4.2790E-006,1543.844160,4.2790E-006
1543.844780,4.2330E-006,1543.844780,4.2330E-006
1543.845400,4.2630E-006,1543.845400,4.2630E-006
1543.846020,4.1890E-006,1543.846020,4.1890E-006
1543.846640,4.1980E-006,1543.846640,4.1980E-006
1543.847260,4.2230E-006,1543.847260,4.2230E-006
1543.847880,4.1980E-006,1543.847880,4.1980E-006
1543.848500,4.1770E-006,1543.848500,4.1770E-006
1543.849120,4.2190E-006,1543.849120,4.2190E-006
1543.849740,4.1940E-006,1543.849740,4.1940E-006
1543.850360,4.1670E-006,1543.850360,4.1670E-006
1543.850980,4.1910E-006,1543.850980,4.1910E-006
1543.851600,4.1590E-006,1543.851600,4.1590E-006
1543.852220,4.1800E-006,1543.852220,4.1800E-006
1543.852840,4.1920E-006,1543.852840,4.1920E-006
1543.853460,4.1200E-006,1543.853460,4.1200E-006
1543.854080,4.1460E-006,1543.854080,4.1460E-006
1543.854700,4.1380E-006,1543.854700,4.1380E-006
1543.855320,4.1710E-006,1543.855320,4.1710E-006
1543.855940,4.1050E-006,1543.855940,4.1050E-006
1543.856560,4.1480E-006,1543.856560,4.1480E-006
1543.857180,4.0960E-006,1543.857180,4.0960E-006
1543.857800,4.1070E-006,1543.857800,4.1070E-006
1543.858420,4.0910E-006,1543.858420,4.0910E-006
1543.859040,4.0860E-006,1543.859040,4.0860E-006
1543.859660,4.0890E-006,1543.859660,4.0890E-006
1543.860280,4.0940E-006,1543.860280,4.0940E-006
1543.860900,4.0580E-006,1543.860900,4.0580E-006
1543.861520,4.0720E-006,1543.861520,4.0720E-006
1543.862140,4.0530E-006,1543.862140,4.0530E-006
1543.862760,4.0410E-006,1543.862760,4.0410E-006
1543.863380,4.0630E-006,1543.863380,4.0630E-006
1543.864000,4.0280E-006,1543.864000,4.0280E-006
1543.864620,4.0120E-006,1543.864620,4.0120E-006
1543.865240,4.0350E-006,1543.865240,4.0350E-006
1543.865860,4.0090E-006,1543.865860,4.0090E-006
1543.866480,4.0400E-006,1543.866480,4.0400E-006
1543.867100,3.9600E-006,1543.867100,3.9600E-006
1543.867720,3.9820E-006,1543.867720,3.9820E-006
1543.868340,3.9770E-006,1543.868340,3.9770E-006
1543.868960,3.9470E-006,1543.868960,3.9470E-006
1543.869580,3.9900E-006,1543.869580,3.9900E-006
1543.870200,3.9460E-006,1543.870200,3.9460E-006
1543.870820,3.9330E-006,1543.870820,3.9330E-006
1543.871440,3.9570E-006,1543.871440,3.9570E-006
1543.872060,3.9080E-006,1543.872060,3.9080E-006
1543.872680,3.8480E-006,1543.872680,3.8480E-006
1543.873300,3.9020E-006,1543.873300,3.9020E-006
1543.873920,3.9320E-006,1543.873920,3.9320E-006
1543.874540,3.8970E-006,1543.874540,3.8970E-006
1543.875160,3.9440E-006,1543.875160,3.9440E-006
