File,WaveData20200709_031.csv,
Date/Time,20-07-09/15:30,

Trace,A
Center Wavelength,1545.29,nm
Span Wavelength,3.1,nm
Start Wavelength,1543.74,nm
Stop Wavelength,1546.84,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.470,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1543.74,nm
Stop,1546.84,nm
Trace,B
Center Wavelength,1545.29,nm
Span Wavelength,3.1,nm
Start Wavelength,1543.74,nm
Stop Wavelength,1546.84,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.470,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1543.74,nm
Stop,1546.84,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1543.740000,2.4890E-005,1543.740000,2.4890E-005
1543.740620,2.4860E-005,1543.740620,2.4860E-005
1543.741240,2.4810E-005,1543.741240,2.4810E-005
1543.741860,2.4740E-005,1543.741860,2.4740E-005
1543.742480,2.4810E-005,1543.742480,2.4810E-005
1543.743100,2.4810E-005,1543.743100,2.4810E-005
1543.743720,2.4830E-005,1543.743720,2.4830E-005
1543.744340,2.4730E-005,1543.744340,2.4730E-005
1543.744960,2.4860E-005,1543.744960,2.4860E-005
1543.745580,2.4820E-005,1543.745580,2.4820E-005
1543.746200,2.4810E-005,1543.746200,2.4810E-005
1543.746820,2.4810E-005,1543.746820,2.4810E-005
1543.747440,2.4750E-005,1543.747440,2.4750E-005
1543.748060,2.4870E-005,1543.748060,2.4870E-005
1543.748680,2.4790E-005,1543.748680,2.4790E-005
1543.749300,2.4800E-005,1543.749300,2.4800E-005
1543.749920,2.4800E-005,1543.749920,2.4800E-005
1543.750540,2.4810E-005,1543.750540,2.4810E-005
1543.751160,2.4800E-005,1543.751160,2.4800E-005
1543.751780,2.4800E-005,1543.751780,2.4800E-005
1543.752400,2.4870E-005,1543.752400,2.4870E-005
1543.753020,2.4800E-005,1543.753020,2.4800E-005
1543.753640,2.4790E-005,1543.753640,2.4790E-005
1543.754260,2.4820E-005,1543.754260,2.4820E-005
1543.754880,2.4790E-005,1543.754880,2.4790E-005
1543.755500,2.4740E-005,1543.755500,2.4740E-005
1543.756120,2.4810E-005,1543.756120,2.4810E-005
1543.756740,2.4810E-005,1543.756740,2.4810E-005
1543.757360,2.4800E-005,1543.757360,2.4800E-005
1543.757980,2.4760E-005,1543.757980,2.4760E-005
1543.758600,2.4760E-005,1543.758600,2.4760E-005
1543.759220,2.4710E-005,1543.759220,2.4710E-005
1543.759840,2.4760E-005,1543.759840,2.4760E-005
1543.760460,2.4800E-005,1543.760460,2.4800E-005
1543.761080,2.4760E-005,1543.761080,2.4760E-005
1543.761700,2.4690E-005,1543.761700,2.4690E-005
1543.762320,2.4790E-005,1543.762320,2.4790E-005
1543.762940,2.4730E-005,1543.762940,2.4730E-005
1543.763560,2.4810E-005,1543.763560,2.4810E-005
1543.764180,2.4720E-005,1543.764180,2.4720E-005
1543.764800,2.4790E-005,1543.764800,2.4790E-005
1543.765420,2.4700E-005,1543.765420,2.4700E-005
1543.766040,2.4790E-005,1543.766040,2.4790E-005
1543.766660,2.4720E-005,1543.766660,2.4720E-005
1543.767280,2.4750E-005,1543.767280,2.4750E-005
1543.767900,2.4730E-005,1543.767900,2.4730E-005
1543.768520,2.4730E-005,1543.768520,2.4730E-005
1543.769140,2.4690E-005,1543.769140,2.4690E-005
1543.769760,2.4760E-005,1543.769760,2.4760E-005
1543.770380,2.4750E-005,1543.770380,2.4750E-005
1543.771000,2.4710E-005,1543.771000,2.4710E-005
1543.771620,2.4660E-005,1543.771620,2.4660E-005
1543.772240,2.4660E-005,1543.772240,2.4660E-005
1543.772860,2.4820E-005,1543.772860,2.4820E-005
1543.773480,2.4790E-005,1543.773480,2.4790E-005
1543.774100,2.4720E-005,1543.774100,2.4720E-005
1543.774720,2.4720E-005,1543.774720,2.4720E-005
1543.775340,2.4750E-005,1543.775340,2.4750E-005
1543.775960,2.4700E-005,1543.775960,2.4700E-005
1543.776580,2.4720E-005,1543.776580,2.4720E-005
1543.777200,2.4660E-005,1543.777200,2.4660E-005
1543.777820,2.4660E-005,1543.777820,2.4660E-005
1543.778440,2.4720E-005,1543.778440,2.4720E-005
1543.779060,2.4740E-005,1543.779060,2.4740E-005
1543.779680,2.4710E-005,1543.779680,2.4710E-005
1543.780300,2.4730E-005,1543.780300,2.4730E-005
1543.780920,2.4760E-005,1543.780920,2.4760E-005
1543.781540,2.4720E-005,1543.781540,2.4720E-005
1543.782160,2.4740E-005,1543.782160,2.4740E-005
1543.782780,2.4700E-005,1543.782780,2.4700E-005
1543.783400,2.4750E-005,1543.783400,2.4750E-005
1543.784020,2.4800E-005,1543.784020,2.4800E-005
1543.784640,2.4810E-005,1543.784640,2.4810E-005
1543.785260,2.4750E-005,1543.785260,2.4750E-005
1543.785880,2.4800E-005,1543.785880,2.4800E-005
1543.786500,2.4750E-005,1543.786500,2.4750E-005
1543.787120,2.4810E-005,1543.787120,2.4810E-005
1543.787740,2.4790E-005,1543.787740,2.4790E-005
1543.788360,2.4790E-005,1543.788360,2.4790E-005
1543.788980,2.4800E-005,1543.788980,2.4800E-005
1543.789600,2.4750E-005,1543.789600,2.4750E-005
1543.790220,2.4760E-005,1543.790220,2.4760E-005
1543.790840,2.4820E-005,1543.790840,2.4820E-005
1543.791460,2.4810E-005,1543.791460,2.4810E-005
1543.792080,2.4830E-005,1543.792080,2.4830E-005
1543.792700,2.4820E-005,1543.792700,2.4820E-005
1543.793320,2.4740E-005,1543.793320,2.4740E-005
1543.793940,2.4830E-005,1543.793940,2.4830E-005
1543.794560,2.4840E-005,1543.794560,2.4840E-005
1543.795180,2.4800E-005,1543.795180,2.4800E-005
1543.795800,2.4820E-005,1543.795800,2.4820E-005
1543.796420,2.4870E-005,1543.796420,2.4870E-005
1543.797040,2.4820E-005,1543.797040,2.4820E-005
1543.797660,2.4860E-005,1543.797660,2.4860E-005
1543.798280,2.4870E-005,1543.798280,2.4870E-005
1543.798900,2.4800E-005,1543.798900,2.4800E-005
1543.799520,2.4890E-005,1543.799520,2.4890E-005
1543.800140,2.4940E-005,1543.800140,2.4940E-005
1543.800760,2.4960E-005,1543.800760,2.4960E-005
1543.801380,2.5020E-005,1543.801380,2.5020E-005
1543.802000,2.4940E-005,1543.802000,2.4940E-005
1543.802620,2.4950E-005,1543.802620,2.4950E-005
1543.803240,2.4960E-005,1543.803240,2.4960E-005
1543.803860,2.4950E-005,1543.803860,2.4950E-005
1543.804480,2.4970E-005,1543.804480,2.4970E-005
1543.805100,2.5020E-005,1543.805100,2.5020E-005
1543.805720,2.5050E-005,1543.805720,2.5050E-005
1543.806340,2.4960E-005,1543.806340,2.4960E-005
1543.806960,2.5050E-005,1543.806960,2.5050E-005
1543.807580,2.5020E-005,1543.807580,2.5020E-005
1543.808200,2.5030E-005,1543.808200,2.5030E-005
1543.808820,2.5130E-005,1543.808820,2.5130E-005
1543.809440,2.5120E-005,1543.809440,2.5120E-005
1543.810060,2.5080E-005,1543.810060,2.5080E-005
1543.810680,2.5040E-005,1543.810680,2.5040E-005
1543.811300,2.5140E-005,1543.811300,2.5140E-005
1543.811920,2.5080E-005,1543.811920,2.5080E-005
1543.812540,2.5130E-005,1543.812540,2.5130E-005
1543.813160,2.5160E-005,1543.813160,2.5160E-005
1543.813780,2.5160E-005,1543.813780,2.5160E-005
1543.814400,2.5190E-005,1543.814400,2.5190E-005
1543.815020,2.5140E-005,1543.815020,2.5140E-005
1543.815640,2.5270E-005,1543.815640,2.5270E-005
1543.816260,2.5290E-005,1543.816260,2.5290E-005
1543.816880,2.5260E-005,1543.816880,2.5260E-005
1543.817500,2.5270E-005,1543.817500,2.5270E-005
1543.818120,2.5270E-005,1543.818120,2.5270E-005
1543.818740,2.5280E-005,1543.818740,2.5280E-005
1543.819360,2.5350E-005,1543.819360,2.5350E-005
1543.819980,2.5370E-005,1543.819980,2.5370E-005
1543.820600,2.5390E-005,1543.820600,2.5390E-005
1543.821220,2.5340E-005,1543.821220,2.5340E-005
1543.821840,2.5340E-005,1543.821840,2.5340E-005
1543.822460,2.5380E-005,1543.822460,2.5380E-005
1543.823080,2.5480E-005,1543.823080,2.5480E-005
1543.823700,2.5530E-005,1543.823700,2.5530E-005
1543.824320,2.5530E-005,1543.824320,2.5530E-005
1543.824940,2.5540E-005,1543.824940,2.5540E-005
1543.825560,2.5470E-005,1543.825560,2.5470E-005
1543.826180,2.5470E-005,1543.826180,2.5470E-005
1543.826800,2.5550E-005,1543.826800,2.5550E-005
1543.827420,2.5600E-005,1543.827420,2.5600E-005
1543.828040,2.5630E-005,1543.828040,2.5630E-005
1543.828660,2.5660E-005,1543.828660,2.5660E-005
1543.829280,2.5760E-005,1543.829280,2.5760E-005
1543.829900,2.5760E-005,1543.829900,2.5760E-005
1543.830520,2.5680E-005,1543.830520,2.5680E-005
1543.831140,2.5690E-005,1543.831140,2.5690E-005
1543.831760,2.5710E-005,1543.831760,2.5710E-005
1543.832380,2.5840E-005,1543.832380,2.5840E-005
1543.833000,2.5780E-005,1543.833000,2.5780E-005
1543.833620,2.5750E-005,1543.833620,2.5750E-005
1543.834240,2.5840E-005,1543.834240,2.5840E-005
1543.834860,2.5900E-005,1543.834860,2.5900E-005
1543.835480,2.5870E-005,1543.835480,2.5870E-005
1543.836100,2.5850E-005,1543.836100,2.5850E-005
1543.836720,2.5910E-005,1543.836720,2.5910E-005
1543.837340,2.5900E-005,1543.837340,2.5900E-005
1543.837960,2.5910E-005,1543.837960,2.5910E-005
1543.838580,2.5990E-005,1543.838580,2.5990E-005
1543.839200,2.5950E-005,1543.839200,2.5950E-005
1543.839820,2.6040E-005,1543.839820,2.6040E-005
1543.840440,2.6060E-005,1543.840440,2.6060E-005
1543.841060,2.6070E-005,1543.841060,2.6070E-005
1543.841680,2.6120E-005,1543.841680,2.6120E-005
1543.842300,2.6170E-005,1543.842300,2.6170E-005
1543.842920,2.6160E-005,1543.842920,2.6160E-005
1543.843540,2.6180E-005,1543.843540,2.6180E-005
1543.844160,2.6190E-005,1543.844160,2.6190E-005
1543.844780,2.6300E-005,1543.844780,2.6300E-005
1543.845400,2.6280E-005,1543.845400,2.6280E-005
1543.846020,2.6340E-005,1543.846020,2.6340E-005
1543.846640,2.6240E-005,1543.846640,2.6240E-005
1543.847260,2.6400E-005,1543.847260,2.6400E-005
1543.847880,2.6360E-005,1543.847880,2.6360E-005
1543.848500,2.6410E-005,1543.848500,2.6410E-005
1543.849120,2.6360E-005,1543.849120,2.6360E-005
1543.849740,2.6400E-005,1543.849740,2.6400E-005
1543.850360,2.6360E-005,1543.850360,2.6360E-005
1543.850980,2.6410E-005,1543.850980,2.6410E-005
1543.851600,2.6480E-005,1543.851600,2.6480E-005
1543.852220,2.6570E-005,1543.852220,2.6570E-005
1543.852840,2.6590E-005,1543.852840,2.6590E-005
1543.853460,2.6640E-005,1543.853460,2.6640E-005
1543.854080,2.6640E-005,1543.854080,2.6640E-005
1543.854700,2.6750E-005,1543.854700,2.6750E-005
1543.855320,2.6750E-005,1543.855320,2.6750E-005
1543.855940,2.6730E-005,1543.855940,2.6730E-005
1543.856560,2.6690E-005,1543.856560,2.6690E-005
