File,WaveData20200709_025.csv,
Date/Time,20-07-09/15:22,

Trace,A
Center Wavelength,1545.15,nm
Span Wavelength,3.1,nm
Start Wavelength,1543.6,nm
Stop Wavelength,1546.7,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1543.6,nm
Stop,1546.7,nm
Trace,B
Center Wavelength,1545.15,nm
Span Wavelength,3.1,nm
Start Wavelength,1543.6,nm
Stop Wavelength,1546.7,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1543.6,nm
Stop,1546.7,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1543.600000,3.6060E-006,1543.600000,3.6060E-006
1543.606200,3.6810E-006,1543.606200,3.6810E-006
1543.612400,3.7390E-006,1543.612400,3.7390E-006
1543.618600,3.7950E-006,1543.618600,3.7950E-006
1543.624800,3.9020E-006,1543.624800,3.9020E-006
1543.631000,3.9380E-006,1543.631000,3.9380E-006
1543.637200,4.0860E-006,1543.637200,4.0860E-006
1543.643400,4.1940E-006,1543.643400,4.1940E-006
1543.649600,4.3010E-006,1543.649600,4.3010E-006
1543.655800,4.4830E-006,1543.655800,4.4830E-006
1543.662000,4.5800E-006,1543.662000,4.5800E-006
1543.668200,4.7330E-006,1543.668200,4.7330E-006
1543.674400,4.8350E-006,1543.674400,4.8350E-006
1543.680600,4.9600E-006,1543.680600,4.9600E-006
1543.686800,5.1210E-006,1543.686800,5.1210E-006
1543.693000,5.2620E-006,1543.693000,5.2620E-006
1543.699200,5.3740E-006,1543.699200,5.3740E-006
1543.705400,5.5410E-006,1543.705400,5.5410E-006
1543.711600,5.6540E-006,1543.711600,5.6540E-006
1543.717800,5.8080E-006,1543.717800,5.8080E-006
1543.724000,5.8040E-006,1543.724000,5.8040E-006
1543.730200,5.8810E-006,1543.730200,5.8810E-006
1543.736400,5.9190E-006,1543.736400,5.9190E-006
1543.742600,6.0230E-006,1543.742600,6.0230E-006
1543.748800,6.0060E-006,1543.748800,6.0060E-006
1543.755000,5.9790E-006,1543.755000,5.9790E-006
1543.761200,5.9770E-006,1543.761200,5.9770E-006
1543.767400,5.9720E-006,1543.767400,5.9720E-006
1543.773600,5.9530E-006,1543.773600,5.9530E-006
1543.779800,5.8850E-006,1543.779800,5.8850E-006
1543.786000,5.8280E-006,1543.786000,5.8280E-006
1543.792200,5.6800E-006,1543.792200,5.6800E-006
1543.798400,5.5510E-006,1543.798400,5.5510E-006
