File,WaveData20200710_039.csv,
Date/Time,20-07-10/14:03,

Trace,A
Center Wavelength,1546.5,nm
Span Wavelength,3,nm
Start Wavelength,1545,nm
Stop Wavelength,1548,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.05,nm
Actual Resolution,0.049,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1545,nm
Stop,1548,nm
Trace,B
Center Wavelength,1546.5,nm
Span Wavelength,3,nm
Start Wavelength,1545,nm
Stop Wavelength,1548,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.05,nm
Actual Resolution,0.049,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1545,nm
Stop,1548,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1545.000000,3.0460E-006,1545.000000,3.0460E-006
1545.000600,3.0110E-006,1545.000600,3.0110E-006
1545.001200,3.0400E-006,1545.001200,3.0400E-006
1545.001800,3.0320E-006,1545.001800,3.0320E-006
1545.002400,3.0420E-006,1545.002400,3.0420E-006
1545.003000,3.1180E-006,1545.003000,3.1180E-006
1545.003600,3.1330E-006,1545.003600,3.1330E-006
1545.004200,3.0800E-006,1545.004200,3.0800E-006
1545.004800,3.1390E-006,1545.004800,3.1390E-006
1545.005400,3.1550E-006,1545.005400,3.1550E-006
1545.006000,3.1500E-006,1545.006000,3.1500E-006
1545.006600,3.1780E-006,1545.006600,3.1780E-006
1545.007200,3.1730E-006,1545.007200,3.1730E-006
1545.007800,3.2820E-006,1545.007800,3.2820E-006
1545.008400,3.2760E-006,1545.008400,3.2760E-006
1545.009000,3.2870E-006,1545.009000,3.2870E-006
1545.009600,3.3090E-006,1545.009600,3.3090E-006
1545.010200,3.3740E-006,1545.010200,3.3740E-006
1545.010800,3.3570E-006,1545.010800,3.3570E-006
1545.011400,3.4250E-006,1545.011400,3.4250E-006
1545.012000,3.4460E-006,1545.012000,3.4460E-006
1545.012600,3.4240E-006,1545.012600,3.4240E-006
1545.013200,3.4750E-006,1545.013200,3.4750E-006
1545.013800,3.4760E-006,1545.013800,3.4760E-006
1545.014400,3.4670E-006,1545.014400,3.4670E-006
1545.015000,3.4660E-006,1545.015000,3.4660E-006
1545.015600,3.4770E-006,1545.015600,3.4770E-006
1545.016200,3.4800E-006,1545.016200,3.4800E-006
1545.016800,3.4710E-006,1545.016800,3.4710E-006
1545.017400,3.4700E-006,1545.017400,3.4700E-006
1545.018000,3.4700E-006,1545.018000,3.4700E-006
1545.018600,3.4650E-006,1545.018600,3.4650E-006
1545.019200,3.4650E-006,1545.019200,3.4650E-006
1545.019800,3.4490E-006,1545.019800,3.4490E-006
1545.020400,3.4420E-006,1545.020400,3.4420E-006
1545.021000,3.4440E-006,1545.021000,3.4440E-006
1545.021600,3.4540E-006,1545.021600,3.4540E-006
1545.022200,3.4100E-006,1545.022200,3.4100E-006
1545.022800,3.4030E-006,1545.022800,3.4030E-006
1545.023400,3.4170E-006,1545.023400,3.4170E-006
1545.024000,3.4220E-006,1545.024000,3.4220E-006
1545.024600,3.4130E-006,1545.024600,3.4130E-006
1545.025200,3.3490E-006,1545.025200,3.3490E-006
1545.025800,3.3490E-006,1545.025800,3.3490E-006
1545.026400,3.3430E-006,1545.026400,3.3430E-006
1545.027000,3.3070E-006,1545.027000,3.3070E-006
1545.027600,3.2850E-006,1545.027600,3.2850E-006
1545.028200,3.2820E-006,1545.028200,3.2820E-006
1545.028800,3.2680E-006,1545.028800,3.2680E-006
1545.029400,3.3260E-006,1545.029400,3.3260E-006
1545.030000,3.2930E-006,1545.030000,3.2930E-006
1545.030600,3.2960E-006,1545.030600,3.2960E-006
1545.031200,3.2960E-006,1545.031200,3.2960E-006
1545.031800,3.2500E-006,1545.031800,3.2500E-006
1545.032400,3.2540E-006,1545.032400,3.2540E-006
1545.033000,3.3060E-006,1545.033000,3.3060E-006
1545.033600,3.2420E-006,1545.033600,3.2420E-006
1545.034200,3.2630E-006,1545.034200,3.2630E-006
1545.034800,3.3550E-006,1545.034800,3.3550E-006
1545.035400,3.3760E-006,1545.035400,3.3760E-006
1545.036000,3.3370E-006,1545.036000,3.3370E-006
1545.036600,3.3320E-006,1545.036600,3.3320E-006
1545.037200,3.3580E-006,1545.037200,3.3580E-006
