 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
1540.0,1.9403355900765577e-63
1540.001800360072,2.224775242254202e-63
1540.003600720144,2.550746401984106e-63
1540.005401080216,2.924288853928843e-63
1540.007201440288,3.3523171711789306e-63
1540.00900180036,3.8427468985509903e-63
1540.0108021604321,4.404638862739016e-63
1540.012602520504,5.048364200437945e-63
1540.0144028805762,5.785793068662953e-63
1540.016203240648,6.630510418888664e-63
1540.0180036007202,7.598062703077469e-63
1540.0198039607922,8.706239923719534e-63
1540.021604320864,9.975398073885216e-63
1540.0234046809362,1.1428827723606522e-62
1540.0252050410081,1.3093175330107048e-62
1540.0270054010803,1.4998924784352137e-62
1540.0288057611522,1.7180947764179346e-62
1540.0306061212243,1.9679132691620207e-62
1540.0324064812962,2.253910346472616e-62
1540.0342068413684,2.5813040733862353e-62
1540.0360072014403,2.956062027931184e-62
1540.0378075615124,3.385008512959812e-62
1540.0396079215843,3.875947038555277e-62
1540.0414082816562,4.4378002424932e-62
1540.0432086417284,5.080769719445661e-62
1540.0450090018003,5.816518580080292e-62
1540.0468093618724,6.658379959876622e-62
1540.0486097219443,7.621595148052658e-62
1540.0504100820165,8.723585529738873e-62
1540.0522104420884,9.984263118303779e-62
1540.0540108021605,1.1426385135071994e-61
1540.0558111622324,1.307595885245783e-61
1540.0576115223046,1.4962703800958672e-61
1540.0594118823765,1.7120579426561533e-61
1540.0612122424484,1.9588387434186386e-61
1540.0630126025205,2.2410459336664347e-61
1540.0648129625924,2.5637441212376193e-61
1540.0666133226646,2.9327189360957046e-61
1540.0684136827365,3.354579245022851e-61
1540.0702140428086,3.836873795606218e-61
1540.0720144028805,4.388224315942345e-61
1540.0738147629527,5.018477383509072e-61
1540.0756151230246,5.7388776962649545e-61
1540.0774154830967,6.562265751611941e-61
1540.0792158431686,7.50330335361127e-61
1540.0810162032406,8.578730852195133e-61
1540.0828165633127,9.807660557345317e-61
1540.0846169233846,1.1211911394240554e-60
1540.0864172834567,1.2816390572883426e-60
1540.0882176435287,1.464952884359623e-60
1540.0900180036008,1.674377683538134e-60
1540.0918183636727,1.913617100453536e-60
1540.0936187237448,2.1868978922088625e-60
1540.0954190838168,2.499043496403434e-60
1540.097219443889,2.8555579025224816e-60
1540.0990198039608,3.2627212608153784e-60
1540.1008201640327,3.727698865471462e-60
1540.1026205241049,4.258665373555167e-60
1540.1044208841768,4.8649463806835337e-60
1540.106221244249,5.557179768888001e-60
1540.1080216043208,6.347499573810901e-60
1540.109821964393,7.249745503174751e-60
1540.1116223244649,8.279701666138686e-60
1540.113422684537,9.455368571803289e-60
1540.115223044609,1.0797273008556694e-59
1540.117023404681,1.232882106133805e-59
1540.118823764753,1.4076700239959505e-59
1540.1206241248249,1.6071337526420496e-59
1540.122424484897,1.8347421077542706e-59
1540.124224844969,2.0944494391584036e-59
1540.126025205041,2.3907632963132436e-59
1540.127825565113,2.7288214818446947e-59
1540.129625925185,3.1144797910243412e-59
1540.131426285257,3.554411911161962e-59
1540.1332266453292,4.056223160222605e-59
1540.135027005401,4.628579971491124e-59
1540.136827365473,5.28135729639014e-59
1540.1386277255451,6.025806392195016e-59
1540.140428085617,6.874745801680061e-59
1540.1422284456892,7.842778717213314e-59
1540.144028805761,8.946540355179533e-59
1540.1458291658332,1.020497946935388e-58
1540.1476295259051,1.1639678688904284e-58
1540.1494298859773,1.3275219016522594e-58
1540.1512302460492,1.5139594541109554e-58
1540.1530306061213,1.7264684258226496e-58
1540.1548309661932,1.9686788819232036e-58
1540.1566313262651,2.2447241112066955e-58
1540.1584316863373,2.5593100776410992e-58
1540.1602320464092,2.9177944141486516e-58
1540.1620324064813,3.326276264294964e-58
1540.1638327665532,3.791698453626436e-58
1540.1656331266254,4.321963676689363e-58
1540.1674334866973,4.926066611748391e-58
1540.1692338467694,5.614244138910802e-58
1540.1710342068413,6.398146128575097e-58
1540.1728345669135,7.291029606997138e-58
1540.1746349269854,8.307979480991549e-58
1540.1764352870573,9.466159441579416e-58
1540.1782356471294,1.0785097150986957e-57
1540.1800360072014,1.2287008376999325e-57
1540.1818363672735,1.399716537148726e-57
1540.1836367273454,1.594431549965649e-57
1540.1854370874175,1.8161156950115432e-57
1540.1872374474895,2.068487926514307e-57
1540.1890378075616,2.3557777491984238e-57
1540.1908381676335,2.682794992603886e-57
1540.1926385277056,3.055009078288243e-57
1540.1944388877776,3.4786390641464766e-57
1540.1962392478495,3.960755925782277e-57
