File,WaveData20200720_025.csv,
Date/Time,20-07-20/11:04,

Trace,A
Center Wavelength,1546.5,nm
Span Wavelength,5,nm
Start Wavelength,1544,nm
Stop Wavelength,1549,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544,nm
Stop,1549,nm
Trace,B
Center Wavelength,1546.5,nm
Span Wavelength,5,nm
Start Wavelength,1544,nm
Stop Wavelength,1549,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544,nm
Stop,1549,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1544.202500,1.1750E-005,1544.202500,1.1750E-005
1544.205000,1.1750E-005,1544.205000,1.1750E-005
1544.207500,1.1660E-005,1544.207500,1.1660E-005
1544.210000,1.1670E-005,1544.210000,1.1670E-005
1544.212500,1.1660E-005,1544.212500,1.1660E-005
1544.215000,1.1660E-005,1544.215000,1.1660E-005
1544.217500,1.1660E-005,1544.217500,1.1660E-005
1544.220000,1.1670E-005,1544.220000,1.1670E-005
1544.222500,1.1690E-005,1544.222500,1.1690E-005
1544.225000,1.1690E-005,1544.225000,1.1690E-005
1544.227500,1.1620E-005,1544.227500,1.1620E-005
1544.230000,1.1580E-005,1544.230000,1.1580E-005
1544.232500,1.1620E-005,1544.232500,1.1620E-005
1544.235000,1.1540E-005,1544.235000,1.1540E-005
1544.237500,1.1530E-005,1544.237500,1.1530E-005
1544.240000,1.1500E-005,1544.240000,1.1500E-005
1544.242500,1.1470E-005,1544.242500,1.1470E-005
1544.245000,1.1480E-005,1544.245000,1.1480E-005
1544.247500,1.1390E-005,1544.247500,1.1390E-005
1544.250000,1.1460E-005,1544.250000,1.1460E-005
1544.252500,1.1460E-005,1544.252500,1.1460E-005
1544.255000,1.1410E-005,1544.255000,1.1410E-005
1544.257500,1.1430E-005,1544.257500,1.1430E-005
1544.260000,1.1420E-005,1544.260000,1.1420E-005
1544.262500,1.1430E-005,1544.262500,1.1430E-005
1544.265000,1.1390E-005,1544.265000,1.1390E-005
1544.267500,1.1400E-005,1544.267500,1.1400E-005
1544.270000,1.1350E-005,1544.270000,1.1350E-005
1544.272500,1.1330E-005,1544.272500,1.1330E-005
1544.275000,1.1250E-005,1544.275000,1.1250E-005
1544.277500,1.1350E-005,1544.277500,1.1350E-005
1544.280000,1.1280E-005,1544.280000,1.1280E-005
1544.282500,1.1310E-005,1544.282500,1.1310E-005
