File,WaveData20200305_001.csv,
Date/Time,20-03-05/15:36,

Trace,A
Center Wavelength,1547.78,nm
Span Wavelength,5,nm
Start Wavelength,1545.28,nm
Stop Wavelength,1550.28,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1545.28,nm
Stop,1550.28,nm
Trace,B
Center Wavelength,1547.78,nm
Span Wavelength,5,nm
Start Wavelength,1545.28,nm
Stop Wavelength,1550.28,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1545.28,nm
Stop,1550.28,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1545.280000,2.7310E-005,1545.280000,2.7310E-005
1545.282500,2.7200E-005,1545.282500,2.7200E-005
1545.285000,2.6480E-005,1545.285000,2.6480E-005
1545.287500,2.5600E-005,1545.287500,2.5600E-005
1545.290000,2.4470E-005,1545.290000,2.4470E-005
1545.292500,2.3650E-005,1545.292500,2.3650E-005
1545.295000,2.2930E-005,1545.295000,2.2930E-005
1545.297500,2.2460E-005,1545.297500,2.2460E-005
1545.300000,2.1820E-005,1545.300000,2.1820E-005
1545.302500,2.1410E-005,1545.302500,2.1410E-005
1545.305000,2.0750E-005,1545.305000,2.0750E-005
1545.307500,2.0320E-005,1545.307500,2.0320E-005
1545.310000,1.9770E-005,1545.310000,1.9770E-005
1545.312500,1.9470E-005,1545.312500,1.9470E-005
1545.315000,1.9150E-005,1545.315000,1.9150E-005
1545.317500,1.8820E-005,1545.317500,1.8820E-005
1545.320000,1.8480E-005,1545.320000,1.8480E-005
1545.322500,1.8170E-005,1545.322500,1.8170E-005
1545.325000,1.8030E-005,1545.325000,1.8030E-005
1545.327500,1.7830E-005,1545.327500,1.7830E-005
1545.330000,1.7660E-005,1545.330000,1.7660E-005
1545.332500,1.7660E-005,1545.332500,1.7660E-005
1545.335000,1.7550E-005,1545.335000,1.7550E-005
1545.337500,1.7630E-005,1545.337500,1.7630E-005
1545.340000,1.7700E-005,1545.340000,1.7700E-005
1545.342500,1.7790E-005,1545.342500,1.7790E-005
1545.345000,1.8080E-005,1545.345000,1.8080E-005
1545.347500,1.8030E-005,1545.347500,1.8030E-005
1545.350000,1.8470E-005,1545.350000,1.8470E-005
1545.352500,1.8780E-005,1545.352500,1.8780E-005
1545.355000,1.9190E-005,1545.355000,1.9190E-005
1545.357500,1.9520E-005,1545.357500,1.9520E-005
1545.360000,1.9990E-005,1545.360000,1.9990E-005
1545.362500,2.0420E-005,1545.362500,2.0420E-005
1545.365000,2.1000E-005,1545.365000,2.1000E-005
1545.367500,2.1640E-005,1545.367500,2.1640E-005
1545.370000,2.2420E-005,1545.370000,2.2420E-005
1545.372500,2.2310E-005,1545.372500,2.2310E-005
1545.375000,2.2950E-005,1545.375000,2.2950E-005
